"date","currency","model","level","species","aic","fit_start_newmoon","fit_end_newmoon","initial_newmoon"
"2018-06-11","abundance","nbGARCH","All","BA",449.456069088415,217,506,506
"2018-06-11","abundance","nbGARCH","All","DM",1919.57439095033,217,506,506
"2018-06-11","abundance","nbGARCH","All","DO",1632.21785034286,217,506,506
"2018-06-11","abundance","nbGARCH","All","DS",439.544520698927,217,506,506
"2018-06-11","abundance","nbGARCH","All","NA",964.291512897878,217,506,506
"2018-06-11","abundance","nbGARCH","All","OL",955.028723578601,217,506,506
"2018-06-11","abundance","nbGARCH","All","OT",1599.2880358683,217,506,506
"2018-06-11","abundance","nbGARCH","All","PB",1901.1948571143,217,506,506
"2018-06-11","abundance","nbGARCH","All","PE",1298.276223761,217,506,506
"2018-06-11","abundance","nbGARCH","All","PF",1151.86817173865,217,506,506
"2018-06-11","abundance","nbGARCH","All","PH",132.258527868185,217,506,506
"2018-06-11","abundance","nbGARCH","All","PL",430.567806965146,217,506,506
"2018-06-11","abundance","nbGARCH","All","PM",840.527704312136,217,506,506
"2018-06-11","abundance","nbGARCH","All","PP",2568.1854470096,217,506,506
"2018-06-11","abundance","nbGARCH","All","RF",60.5374574450296,217,506,506
"2018-06-11","abundance","nbGARCH","All","RM",3385.57360588808,217,506,506
"2018-06-11","abundance","nbGARCH","All","RO",328.782475100892,217,506,506
"2018-06-11","abundance","nbGARCH","All","SF",653.304617117733,217,506,506
"2018-06-11","abundance","nbGARCH","All","SH",633.233632781358,217,506,506
"2018-06-11","abundance","nbGARCH","All","SO",39.0111307443306,217,506,506
"2018-06-11","abundance","nbGARCH","All","total",2898.13145870433,217,506,506
"2018-06-11","abundance","AutoArima","Controls","BA",549.180468089003,217,506,506
"2018-06-11","abundance","AutoArima","Controls","DM",1583.20678939992,217,506,506
"2018-06-11","abundance","AutoArima","Controls","DO",1211.07930340959,217,506,506
"2018-06-11","abundance","AutoArima","Controls","DS",75.3079153371071,217,506,506
"2018-06-11","abundance","AutoArima","Controls","NA",219.531989705196,217,506,506
"2018-06-11","abundance","AutoArima","Controls","OL",597.633065074161,217,506,506
"2018-06-11","abundance","AutoArima","Controls","OT",1109.87668242673,217,506,506
"2018-06-11","abundance","AutoArima","Controls","PB",1183.44045502529,217,506,506
"2018-06-11","abundance","AutoArima","Controls","PE",626.792680999633,217,506,506
"2018-06-11","abundance","AutoArima","Controls","PF",928.558195664323,217,506,506
"2018-06-11","abundance","AutoArima","Controls","PH",1e+06,217,506,506
"2018-06-11","abundance","AutoArima","Controls","PL",-419.283596207466,217,506,506
"2018-06-11","abundance","AutoArima","Controls","PM",465.124535501508,217,506,506
"2018-06-11","abundance","AutoArima","Controls","PP",1898.7672114285,217,506,506
"2018-06-11","abundance","AutoArima","Controls","RF",1e+06,217,506,506
"2018-06-11","abundance","AutoArima","Controls","RM",788.889401904503,217,506,506
"2018-06-11","abundance","AutoArima","Controls","RO",-214.17222102465,217,506,506
"2018-06-11","abundance","AutoArima","Controls","SF",394.868444860837,217,506,506
"2018-06-11","abundance","AutoArima","Controls","SH",210.56975918718,217,506,506
"2018-06-11","abundance","AutoArima","Controls","SO",1e+06,217,506,506
"2018-06-11","abundance","AutoArima","Controls","total",2167.00764928762,217,506,506
